DateTime,Observed_Depth,,,,,,,,,
3/9/17 16:00,1.12,,,,,,,,,
4/1/17 16:45,1.03,,,,,,,,,
4/5/17 10:45,1.11,,,,,,,,,
5/8/17 10:15,0.8,,,,,,,,,
5/22/17 14:30,0.66,,,,,,,,,
7/12/17 8:15,1.01,,,,,,,,,
7/21/17 8:45,0.9,,,,,,,,,
7/26/17 8:45,0.88,,,,,,,,,
8/2/17 9:45,0.78,,,,,,,,,
8/9/17 9:45,0.7,,,,,,,,,
8/16/17 10:00,0.64,,,,,,,,,
8/23/17 8:30,0.58,,,,,,,,,
8/30/17 8:30,0.5,,,,,,,,,
9/6/17 11:00,0.45,,,,,,,,,
9/13/17 8:45,0.4,,,,,,,,,
9/29/17 12:45,0.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
, ,,,,,,,,,
