"","storm_event","precip_mm","vol_gain","start_date","end_date","duration"
"1",0,0.254,238.2332248688,2017-11-09,2017-11-09,"2017-11-09-2017-11-09"
"2",1,11.938,469.965862274201,2017-11-16,2017-11-17,"2017-11-16-2017-11-17"
"3",2,6.096,467.5208873749,2017-11-27,2017-11-27,"2017-11-27-2017-11-27"
"4",3,4.064,453.550210952759,2017-12-20,2017-12-20,"2017-12-20-2017-12-20"
"5",4,5.588,221.15411567688,2018-01-04,2018-01-04,"2018-01-04-2018-01-04"
"6",5,6.858,223.03864097595,2018-01-06,2018-01-06,"2018-01-06-2018-01-06"
"7",6,41.148,1592.18396377562,2018-01-08,2018-01-10,"2018-01-08-2018-01-10"
"8",7,0.254000000000012,231.581577301011,2018-01-12,2018-01-12,"2018-01-12-2018-01-12"
"9",8,0.253999999999994,230.378282546999,2018-01-16,2018-01-16,"2018-01-16-2018-01-16"
"10",9,3.81,230.378282546999,2018-01-18,2018-01-19,"2018-01-18-2018-01-19"
"11",10,0.253999999999994,0,2018-01-22,2018-01-22,"2018-01-22-2018-01-22"
"12",11,2.79400000000001,228.988681793211,2018-01-25,2018-01-25,"2018-01-25-2018-01-25"
"13",12,0,216.24504470825,2018-02-23,2018-02-23,"2018-02-23-2018-02-23"
"14",13,12.192,430.66293716431,2018-02-26,2018-02-27,"2018-02-26-2018-02-27"
"15",14,39.624,2934.57254219056,2018-03-01,2018-03-03,"2018-03-01-2018-03-03"
"16",15,18.796,929.480747222909,2018-03-13,2018-03-14,"2018-03-13-2018-03-14"
"17",16,6.858,469.965862274201,2018-03-16,2018-03-17,"2018-03-16-2018-03-17"
"18",17,40.386,15204.2954978943,2018-03-20,2018-03-22,"2018-03-20-2018-03-22"
"19",18,8.63599999999998,595.361030578599,2018-03-24,2018-03-24,"2018-03-24-2018-03-24"
"20",19,28.448,3598.1504440307,2018-04-06,2018-04-07,"2018-04-06-2018-04-07"
"21",20,0.762,303.648658752398,2018-04-12,2018-04-12,"2018-04-12-2018-04-12"
"22",21,10.668,603.962179184,2018-04-16,2018-04-17,"2018-04-16-2018-04-17"
"23",22,0.254000000000012,293.025339126601,2018-05-02,2018-05-02,"2018-05-02-2018-05-02"
"24",23,1.524,275.1565685272,2018-05-25,2018-05-25,"2018-05-25-2018-05-25"
